LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1_NapA,Root | SP|P39185|NAPA_ALCEU/2-831
338_NapA,Novosphingopyxis baekryungensis DSM 16222 | 1123270.ATUR01000002_gene2524
339_NapA,Sphingobium chlorophenolicum | 46429.BV95_01192
340_NapA,Sphingobium chlorophenolicum | 46429.BV95_04120
341_NapA,Sphingobium herbicidovorans NBRC 16415 | 1219045.BV98_003034
342_NapA,Sphingobium japonicum UT26S | 452662.SJA_C1-28530
343_NapA,Sphingobium lactosutens DS20 | 1331060.RLDS_16930
344_NapA,Sphingobium sp. C100 | 1207055.C100_18080
345_NapA,Sphingobium sp. SYK-6 | 627192.SLG_27700
346_NapA,Sphingobium sp. ba1 | 1522072.IL54_1104
347_NapA,Sphingobium yanoikuyae | 13690.CP98_01366
348_NapA,Sphingomonas elodea ATCC 31461 | 1081640.AGFU01000034_gene2866
349_NapA,Sphingomonas melonis DAPP-PG 224 | 1090320.KB900606_gene72
350_NapA,Sphingomonas parapaucimobilis NBRC 15100 | 1219049.SP5_054_00120
351_NapA,Sphingomonas phyllosphaerae 5.2 | 1090318.ATTI01000001_gene413
352_NapA,Sphingomonas sanxanigenens DSM 19645 = NX02 | 1123269.NX02_24630
353_NapA,Sphingomonas sp. 35-24ZXX | 1545915.JROG01000001_gene201
354_NapA,Sphingomonas sp. FUKUSWIS1 | 1379701.JPJC01000235_gene3257
355_NapA,Sphingomonas sp. KC8 | 1030157.AFMP01000008_gene3269
356_NapA,Sphingomonas sp. PR090111-T3T-6A | 685778.AORL01000019_gene1803
357_NapA,Sphingomonas taxi | 1549858.MC45_04495
358_NapA,Sphingomonas wittichii RW1 | 392499.Swit_1709
359_NapA,Sphingomonas wittichii RW1 | 392499.Swit_4198
360_NapA,Sphingopyxis sp. LC81 | 1502850.FG91_03114
361_NapA,Sphingopyxis sp. MWB1 | 1537715.JQFJ01000002_gene1595
362_NapA,Sandarakinorhabdus limnophila DSM 17366 | 1123240.ATVO01000003_gene116
363_NapA,Candidatus Accumulibacter sp. BA-93 | 1454004.AW11_03983
364_NapA,Candidatus Accumulibacter phosphatis clade IIA str. UW-1 | 522306.CAP2UW1_2772
365_NapA,Thiomonas sp. FB-Cd | 1158292.JPOE01000005_gene222
366_NapA,Sphaerotilus natans subsp. natans DSM 6575 | 1286631.X805_40060
367_NapA,Leptothrix cholodnii SP-6 | 395495.Lcho_1343
368_NapA,Leptothrix cholodnii SP-6 | 395495.Lcho_2680
369_NapA,Methylibium petroleiphilum PM1 | 420662.Mpe_A2319
370_NapA,Thiomonas arsenitoxydans | 426114.THI_3596
371_NapA,Burkholderiales bacterium 1_1_47 | 469610.HMPREF0189_00303
372_NapA,Burkholderiales bacterium JOSHI_001 | 864051.BurJ1DRAFT_3675
373_NapA,Burkholderiales | sp|B1Y6A6|NAPA_LEPCP
374_NapA,Burkholderiales | tr|A0A0G3BG84|A0A0G3BG84_9BURK
375_NapA,Burkholderiales | tr|A0A0U2W1S2|A0A0U2W1S2_9BURK
376_NapA,Burkholderiales | tr|A0A1I6J1D7|A0A1I6J1D7_9BURK
377_NapA,Burkholderiales | tr|A0A1W6LA00|A0A1W6LA00_9BURK
378_NapA,Burkholderiales | tr|A0A433SAQ2|A0A433SAQ2_9BURK
379_NapA,Burkholderiales | tr|A0A4Q7VD93|A0A4Q7VD93_9BURK
380_NapA,Burkholderiales | tr|A0A4R2M8U6|A0A4R2M8U6_RUBGE
381_NapA,Burkholderiales | tr|A0A4V2EWP7|A0A4V2EWP7_9BURK
382_NapA,Burkholderiales | tr|A0A519IAR1|A0A519IAR1_9BURK
383_NapA,Burkholderiales | tr|A0A8A7VEY2|A0A8A7VEY2_9BURK
384_NapA,Achromobacter arsenitoxydans SY8 | 477184.KYC_13517
385_NapA,Achromobacter insuavis AXX-A | 1003200.AXXA_05313
386_NapA,Achromobacter pestifer | tr|A0A6S7AML6|A0A6S7AML6_9BURK
387_NapA,Achromobacter piechaudii HLE | 1156919.QWC_04018
388_NapA,Achromobacter spanius | tr|A0A2S0I653|A0A2S0I653_9BURK
389_NapA,Achromobacter xylosoxidans A8 | 762376.AXYL_05131
390_NapA,Advenella kashmirensis W13003 | 1424334.W822_17025
391_NapA,Advenella mimigardefordensis DPN7 | 1247726.MIM_c09450
392_NapA,Bordetella petrii | 94624.Bpet3638
393_NapA,Bordetella petrii | 94624.Bpet4079
394_NapA,Paracandidimonas soli | tr|A0A4R3UMS3|A0A4R3UMS3_9BURK
395_NapA,Pusillimonas sp. T7-7 | 1007105.PT7_2971
396_NapA,Burkholderiaceae bacterium PBA | 795666.MW7_1646
397_NapA,Burkholderiaceae | tr|A0A5C7QK64|A0A5C7QK64_9BURK
398_NapA,Burkholderiaceae | tr|A0A5C7QRF4|A0A5C7QRF4_9BURK
399_NapA,Burkholderia gladioli BSR3 | 999541.bgla_2g16770
400_NapA,Burkholderia multivorans ATCC 17616 | 395019.Bmul_4149
401_NapA,Burkholderia oklahomensis | 342113.DM82_5413
402_NapA,Burkholderia pseudomallei K96243 | 272560.BPSL0510
403_NapA,Burkholderia pseudomallei K96243 | 272560.BPSL2207
404_NapA,Burkholderia sp. CCGE1001 | 640510.BC1001_2109
405_NapA,Burkholderia sp. CCGE1003 | 640512.BC1003_1357
406_NapA,Burkholderia sp. K24 | 1472716.KBK24_0122585
407_NapA,Burkholderia sp. K24 | 1472716.KBK24_0137190
408_NapA,Burkholderia sp. YI23 | 1097668.BYI23_B007910
409_NapA,Caballeronia insecticola | tr|R4X184|R4X184_9BURK
410_NapA,Caballeronia pedi | tr|A0A158C7Z8|A0A158C7Z8_9BURK
411_NapA,Caballeronia sordidicola | 196367.JNFG01000013_gene5225
412_NapA,Caballeronia sordidicola | tr|A0A4R1PA43|A0A4R1PA43_9BURK
413_NapA,Caballeronia telluris | tr|A0A158K2W6|A0A158K2W6_9BURK
414_NapA,Cupriavidus metallidurans CH34 | 266264.Rmet_4063
415_NapA,Cupriavidus metallidurans CH34 | 266264.Rmet_4821
416_NapA,Cupriavidus necator H16 | 381666.H16_B0776
417_NapA,Cupriavidus pinatubonensis JMP134 | 264198.Reut_B4763
418_NapA,Cupriavidus pinatubonensis JMP134 | 264198.Reut_B4863
419_NapA,Limnobacter sp. | tr|A0A847DXI8|A0A847DXI8_9BURK
420_NapA,Pandoraea sp. SD6-2 | 1286093.C266_16045
421_NapA,Paraburkholderia acidipaludis NBRC 101816 | 1218074.BAXZ01000004_gene1231
422_NapA,Paraburkholderia bannensis NBRC 103871 | 1218075.BAYA01000028_gene5686
423_NapA,Paraburkholderia bryophila 376MFSha3.1 | 1169143.KB911034_gene1306
424_NapA,Paraburkholderia ferrariae NBRC 106233 | 1218076.BAYB01000022_gene3884
425_NapA,Paraburkholderia mimosarum LMG 23256 = NBRC 106338 | 1038869.AXAN01000003_gene2546
426_NapA,Paraburkholderia sacchari | 159450.NH14_17235
427_NapA,Polynucleobacter asymbioticus QLW-P1DMWA-1 | 312153.Pnuc_1002
428_NapA,Ralstonia pickettii 12J | 402626.Rpic_2844
429_NapA,Ralstonia pickettii 12J | 402626.Rpic_4167
430_NapA,Ralstonia pickettii (Burkholderia pickettii) | tr|A0A7T6X840|A0A7T6X840_RALPI
431_NapA,Comamonadaceae | tr|A0A3P1XLP7|A0A3P1XLP7_9BURK
432_NapA,Acidovorax citrulli AAC00-1 | 397945.Aave_2105
433_NapA,Acidovorax ebreus TPSY | 535289.Dtpsy_2330
434_NapA,Acidovorax sp. KKS102 | 358220.C380_17500
435_NapA,Acidovorax sp. MR-S7 | 1268622.AVS7_03478
436_NapA,Alicycliphilus denitrificans BC | 596153.Alide_2393
437_NapA,Caldimonas manganoxidans ATCC BAA-369 | 1265502.KB905931_gene1690
438_NapA,Comamonas aquatica NBRC 14918 | 1219031.BBJR01000047_gene1692
439_NapA,Comamonas testosteroni KF-1 | 399795.CtesDRAFT_PD4473
440_NapA,Comamonas testosteroni CNB-2 | 688245.CtCNB1_2018
441_NapA,Delftia acidovorans SPH-1 | 398578.Daci_2370
442_NapA,Diaphorobacter ruginosibacter | tr|A0A7G9RJ77|A0A7G9RJ77_9BURK
443_NapA,Hylemonella gracilis str. Niagara R | 1458275.AZ34_13090
444_NapA,Hylemonella gracilis ATCC 19624 | 887062.HGR_05591
445_NapA,Limnohabitans sp. Rim47 | 1100721.ALKO01000003_gene1950
446_NapA,Polaromonas naphthalenivorans CJ2 | 365044.Pnap_1404
447_NapA,Polaromonas sp. JS666 | 296591.Bpro_3279
448_NapA,Ramlibacter lithotrophicus | tr|A0A7X6DCX2|A0A7X6DCX2_9BURK
449_NapA,Ramlibacter tataouinensis TTB310 | 365046.Rta_26630
450_NapA,Ramlibacter tataouinensis | tr|A0A127K1K2|A0A127K1K2_9BURK
451_NapA,Rhodoferax ferrireducens T118 | 338969.Rfer_2559
452_NapA,Rhodoferax ferrireducens T118 | 338969.Rfer_3084
453_NapA,Rhodoferax ferrireducens T118 | 338969.Rfer_3848
454_NapA,Rhodoferax saidenbachensis ED16 | 614083.AWQR01000009_gene544
455_NapA,Rhodoferax saidenbachensis ED16 | 614083.AWQR01000030_gene2700
456_NapA,Simplicispira psychrophila DSM 11588 | 1123255.JHYS01000021_gene1824
457_NapA,Variovorax paradoxus EPS | 595537.Varpa_4045
458_NapA,Variovorax sp. | tr|A0A520GD94|A0A520GD94_9BURK
459_NapA,Verminephrobacter eiseniae EF01-2 | 391735.Veis_2595
460_NapA,Xenophilus azovorans DSM 13620 | 1123504.JQKD01000026_gene4256
461_NapA,Oxalobacteraceae | tr|A0A3D6AFL5|A0A3D6AFL5_9BURK
462_NapA,Collimonas fungivorans Ter331 | 1005048.CFU_0170
463_NapA,Duganella sp. Root1480D1 | tr|A0A0Q7X3R5|A0A0Q7X3R5_9BURK
464_NapA,Herbaspirillum frisingense GSF30 | 864073.HFRIS_008935
465_NapA,Herbaspirillum sp. CF444 | 1144319.PMI16_04602
466_NapA,Herbaspirillum sp. YR522 | 1144342.PMI40_04636
467_NapA,Herminiimonas arsenicoxydans | 204773.HEAR0433
468_NapA,Herminiimonas arsenicoxydans | 204773.HEAR0478
469_NapA,Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628 | 1349767.GJA_2968
470_NapA,Janthinobacterium lividum | 29581.BW37_03843
471_NapA,Janthinobacterium sp. HH01 | 1198452.Jab_2c31470
472_NapA,Massilia flava | tr|A0A562PPK7|A0A562PPK7_9BURK
473_NapA,Massilia sp. 9096 | 1500894.JQNN01000001_gene4538
474_NapA,Massilia sp. LC238 | 1502852.FG94_02509
475_NapA,Massilia timonae CCUG 45783 | 883126.HMPREF9710_03434
476_NapA,Noviherbaspirillum denitrificans | tr|A0A254TDB9|A0A254TDB9_9BURK
477_NapA,Noviherbaspirillum massiliense JC206 | 1095769.CAHF01000023_gene471
478_NapA,Sutterella megalosphaeroides | tr|A0A2Z6I7U5|A0A2Z6I7U5_9BURK
479_NapA,Sutterella parvirubra | tr|H3KE43|H3KE43_9BURK
480_NapA,Sutterella sp. | tr|A0A3B9Q7B4|A0A3B9Q7B4_9BURK
481_NapA,Sutterella sp. | tr|A0A3D0HDG1|A0A3D0HDG1_9BURK
482_NapA,Sutterella sp. AM11-39 | tr|A0A415CHB1|A0A415CHB1_9BURK
483_NapA,Sutterella sp. CAG:351 | tr|R7I7L4|R7I7L4_9BURK
484_NapA,Sutterella wadsworthensis HGA0223 | 1203554.HMPREF1476_02391
485_NapA,Sutterella wadsworthensis 2_1_59BFAA | 742823.HMPREF9465_01977
486_NapA,Andreprevotia chitinilytica DSM 18519 | 1120999.JONM01000014_gene2808
487_NapA,Chromobacterium violaceum ATCC 12472 | 243365.CV_2229
488_NapA,Deefgea sp. D17 | tr|A0A6M8SLN6|A0A6M8SLN6_9NEIS
489_NapA,Laribacter hongkongensis HLHK9 | 557598.LHK_02081
490_NapA,Pseudogulbenkiania ferrooxidans 2002 | 279714.FuraDRAFT_1670
491_NapA,Gallionellaceae | tr|A0A521Q2H2|A0A521Q2H2_9PROT
492_NapA,Ferriphaselus sp. R-1 | 1485544.JQKP01000004_gene468
493_NapA,Sideroxydans lithotrophicus ES-1 | 580332.Slit_0160
494_NapA,Methylophilus methylotrophus DSM 46235 = ATCC 53528 | 1122236.KB905142_gene403
495_NapA,Methylophilus sp. 5 | 1112274.KI911560_gene281
496_NapA,Methylotenera sp. 73s | 1165096.ARWF01000001_gene1197
497_NapA,Methylovorus glucosetrophus SIP3-4 | 582744.Msip34_0344
498_NapA,Methyloversatilis universalis FAM5 | 1000565.METUNv1_00867
499_NapA,Sulfuricella denitrificans skB26 | 1163617.SCD_n00379
500_NapA,Sulfurimicrobium lacus | tr|A0A6F8VDB9|A0A6F8VDB9_9PROT
501_NapA,Parasulfuritortus cantonensis | tr|A0A4R1BGZ6|A0A4R1BGZ6_9PROT
502_NapA,Sulfuritortus calidifontis | tr|A0A4R3JQN3|A0A4R3JQN3_9PROT
503_NapA,Thiobacillus denitrificans DSM 12475 | 1123392.AQWL01000005_gene3030
504_NapA,Thiobacillus denitrificans ATCC 25259 | 292415.Tbd_2310
505_NapA,Thiobacillus sp. 65-29 | tr|A0A1Q4GMT6|A0A1Q4GMT6_9PROT
506_NapA,Usitatibacter palustris | tr|A0A6M4H3X2|A0A6M4H3X2_9PROT
507_NapA,Usitatibacter rugosus | tr|A0A6M4GR99|A0A6M4GR99_9PROT
508_NapA,Usitatibacter rugosus | tr|A0A6M4GYV0|A0A6M4GYV0_9PROT
509_NapA,Rhodocyclales | tr|A0A363SL40|A0A363SL40_9RHOO
510_NapA,Rhodocyclales | tr|A0A3L6LUI7|A0A3L6LUI7_9RHOO
511_NapA,Azonexus hydrophilus | tr|A0A1R1I8R2|A0A1R1I8R2_9RHOO
512_NapA,Dechloromonas agitata is5 | 1304883.KI912532_gene1555
513_NapA,Dechloromonas agitata is5 | 1304883.KI912532_gene1725
514_NapA,Dechloromonas aromatica RCB | 159087.Daro_0814
515_NapA,Dechloromonas sp. | tr|A0A6N1XCZ5|A0A6N1XCZ5_9RHOO
516_NapA,Dechloromonas sp. | tr|A0A7L6AB69|A0A7L6AB69_9RHOO
517_NapA,Rhodocyclaceae | tr|A0A3D3U1Z0|A0A3D3U1Z0_9RHOO
518_NapA,Rhodocyclaceae | tr|A0A3D5SVS7|A0A3D5SVS7_9RHOO
519_NapA,Rhodocyclaceae | tr|A0A524B6U3|A0A524B6U3_9RHOO
520_NapA,Rhodocyclaceae | tr|A0A5C7K2C2|A0A5C7K2C2_9RHOO
521_NapA,Rhodocyclaceae | tr|A0A6L4YN06|A0A6L4YN06_9RHOO
522_NapA,Rhodocyclaceae | tr|A0A838LT15|A0A838LT15_9RHOO
523_NapA,Rhodocyclaceae | tr|A0A838LT31|A0A838LT31_9RHOO
524_NapA,Aromatoleum aromaticum EbN1 | 76114.ebA1211
525_NapA,Azospira oryzae PS | 640081.Dsui_0508
526_NapA,Azospira oryzae PS | 640081.Dsui_1817
527_NapA,Azovibrio restrictus DSM 23866 | 1121035.AUCH01000001_gene1823
528_NapA,Denitromonas halophilus | tr|A0A557R0N9|A0A557R0N9_9RHOO
529_NapA,Niveibacterium umoris | tr|A0A840BNI2|A0A840BNI2_9RHOO
530_NapA,Oryzomicrobium terrae | tr|A0A5C1E455|A0A5C1E455_9RHOO
531_NapA,Zoogloeaceae | tr|A0A2S0QZ73|A0A2S0QZ73_9RHOO
532_NapA,Azoarcus indigens | tr|A0A4R6E6F6|A0A4R6E6F6_9RHOO
533_NapA,Azoarcus nasutitermitis | tr|A0A4S4ANC4|A0A4S4ANC4_9RHOO
534_NapA,Azoarcus sp. KH32C | 748247.AZKH_0839
535_NapA,Azoarcus sp. M9-3-2 | tr|A0A6C1BAN4|A0A6C1BAN4_9RHOO
536_NapA,Azoarcus sp. PA01 | tr|A0A0M0FW02|A0A0M0FW02_9RHOO
537_NapA,Thauera linaloolentis 47Lol = DSM 12138 | 1123367.C666_16380
538_NapA,Thauera sp. 27 | 305700.B447_16632
539_NapA,Thauera sp. 63 | 497321.C664_08618
540_NapA,Thauera sp. 63 | 497321.C664_10508
541_NapA,Thauera sp. MZ1T | 85643.Tmz1t_1147
542_NapA,Uliginosibacterium gangwonense DSM 18521 | 1123487.KB892863_gene1962
543_NapA,Zoogloea sp. G-4-1-14 | tr|A0A848G5C7|A0A848G5C7_9RHOO
544_NapA,Deferrisoma camini S3R1 | 1125863.JAFN01000001_gene2792
545_NapA,Bradymonadales | tr|A0A5B8XTA5|A0A5B8XTA5_9DELT
546_NapA,Bradymonadaceae | tr|A0A838IFS8|A0A838IFS8_9DELT
547_NapA,Bradymonas sediminis | tr|A0A2Z4FLY6|A0A2Z4FLY6_9DELT
548_NapA,Desulfobacterales | tr|A0A1E7JCK9|A0A1E7JCK9_9DELT
549_NapA,Desulfobacterales | tr|A0A1F9NZM3|A0A1F9NZM3_9DELT
550_NapA,Desulfobacteraceae | tr|A0A3A4RNY4|A0A3A4RNY4_9DELT
551_NapA,Desulfobacteraceae | tr|A0A7V5WJJ6|A0A7V5WJJ6_9DELT
552_NapA,Desulfobacteraceae | tr|A0A848Z274|A0A848Z274_9DELT
553_NapA,Desulfobacter sp. | tr|A0A2D6ET60|A0A2D6ET60_9DELT
554_NapA,Desulfobulbaceae | tr|A0A2N6BZX8|A0A2N6BZX8_9DELT
555_NapA,Desulfobulbaceae | tr|A0A7V5R4M3|A0A7V5R4M3_9DELT
556_NapA,Candidatus Electronema sp. GS | tr|A0A521G3J9|A0A521G3J9_9DELT
557_NapA,Desulfobulbus japonicus DSM 18378 | 1121403.AUCV01000003_gene1683
558_NapA,Desulfobulbus propionicus | tr|A0A7U4DP04|A0A7U4DP04_DESPD
559_NapA,Desulfobulbus sp. | tr|A0A3A6MVA9|A0A3A6MVA9_9DELT
560_NapA,Desulfocapsa sulfexigens DSM 10523 | 1167006.UWK_02296
561_NapA,Desulfocapsa sulfexigens DSM 10523 | 1167006.UWK_03288
562_NapA,Desulfopila aestuarii | tr|A0A1M7YCY3|A0A1M7YCY3_9DELT
563_NapA,Desulfurivibrio alkaliphilus AHT 2 | 589865.DaAHT2_1907
564_NapA,Bilophila wadsworthia 3_1_6 | 563192.HMPREF0179_03039
565_NapA,Desulfovibrio sp. | tr|A0A3D4GR36|A0A3D4GR36_9DELT
566_NapA,Desulfovibrio sp. 3_1_syn3 | 457398.HMPREF0326_01706
567_NapA,Desulfovibrio sp. A2 | tr|G2HAE3|G2HAE3_9DELT
568_NapA,Pseudodesulfovibrio profundus | tr|A0A2C8F9U8|A0A2C8F9U8_9DELT
569_NapA,Pseudodesulfovibrio sp. JC047 | tr|A0A6L9LTE6|A0A6L9LTE6_9DELT
570_NapA,Desulfuromonas soudanensis | tr|A0A0M4D1W1|A0A0M4D1W1_9DELT
571_NapA,Geobacteraceae | tr|A0A1G0LHV8|A0A1G0LHV8_9DELT
572_NapA,Geoalkalibacter subterraneus | tr|A0A0B5FE51|A0A0B5FE51_9DELT
573_NapA,Geobacter pickeringii | tr|A0A0B5B6W4|A0A0B5B6W4_9DELT
574_NapA,Geobacter sp. FeAm09 | tr|A0A5C1M8V3|A0A5C1M8V3_9DELT
575_NapA,Geobacter sp. M18 | 443143.GM18_0066
576_NapA,Geobacter sp. SVR | tr|A0A6F9WS61|A0A6F9WS61_9DELT
577_NapA,Geomonas silvestris | tr|A0A6V8MKM4|A0A6V8MKM4_9DELT
578_NapA,Geothermobacter hydrogeniphilus | tr|A0A2K2HAK4|A0A2K2HAK4_9DELT
579_NapA,Myxococcales (fruiting gliding bacteria) | tr|A0A356TK42|A0A356TK42_9DELT
580_NapA,Myxococcales (fruiting gliding bacteria) | tr|A0A3A4JZW3|A0A3A4JZW3_9DELT
581_NapA,Myxococcales (fruiting gliding bacteria) | tr|A0A7X7GQI3|A0A7X7GQI3_9DELT
582_NapA,Myxococcales (fruiting gliding bacteria) | tr|A0A7Y5LNV3|A0A7Y5LNV3_9DELT
583_NapA,Anaeromyxobacter dehalogenans 2CP-C | 290397.Adeh_0908
584_NapA,Archangium violaceum | tr|A0A084SVE7|A0A084SVE7_9DELT
585_NapA,Cystobacter fuscus DSM 2262 | 1242864.D187_005727
586_NapA,Stigmatella aurantiaca DW4/3-1 | 378806.STAUR_4719
587_NapA,Myxococcaceae | tr|A0A521TTW4|A0A521TTW4_9DELT
588_NapA,Corallococcus coralloides DSM 2259 | 1144275.COCOR_03558
589_NapA,Sorangium cellulosum So0157-2 | 1254432.SCE1572_21180
590_NapA,Sorangium cellulosum So0157-2 | 1254432.SCE1572_23375
591_NapA,Sorangium cellulosum So0157-2 | 1254432.SCE1572_51875
592_NapA,Sorangium cellulosum So ce56 | 448385.sce4702
593_NapA,Sorangium cellulosum So ce56 | 448385.sce8491
594_NapA,Sorangium cellulosum So ce56 | 448385.sce9118
595_NapA,Desulfomonile tiedjei DSM 6799 | 706587.Desti_4128
596_NapA,Campylobacterales | tr|A0A7V4QBT9|A0A7V4QBT9_9PROT
597_NapA,Campylobacterales | tr|A0A7Y8L9D0|A0A7Y8L9D0_9PROT
598_NapA,Arcobacter sp. L | 944547.ABLL_1404
599_NapA,Campylobacteraceae | tr|A0A1Y1R921|A0A1Y1R921_9PROT
600_NapA,Campylobacteraceae | tr|A0A366MPX7|A0A366MPX7_9PROT
601_NapA,Campylobacteraceae | tr|A0A366N1U4|A0A366N1U4_9PROT
602_NapA,Aliarcobacter butzleri | tr|E6L1Y0|E6L1Y0_9PROT
603_NapA,Arcobacter cibarius LMG 21996 | 1442598.JABW01000005_gene587
604_NapA,Arcobacter cibarius LMG 21996 | 1442598.JABW01000014_gene2122
605_NapA,Aliarcobacter vitoriensis | tr|A0A366MS78|A0A366MS78_9PROT
606_NapA,[Arcobacter] porcinus | tr|A0A1C0AYY8|A0A1C0AYY8_9PROT
607_NapA,Arcobacter anaerophilus | tr|A0A4Q0Y626|A0A4Q0Y626_9PROT
608_NapA,Arcobacter aquimarinus | tr|A0A4Q0UTK6|A0A4Q0UTK6_9PROT
609_NapA,Arcobacter defluvii | tr|A0A4Q0UQK0|A0A4Q0UQK0_9PROT
610_NapA,Arcobacter nitrofigilis DSM 7299 | 572480.Arnit_0403
611_NapA,Arcobacter nitrofigilis DSM 7299 | 572480.Arnit_0588
612_NapA,Arcobacter nitrofigilis DSM 7299 | 572480.Arnit_0972
613_NapA,Arcobacter sp. | tr|A0A2G2H8U7|A0A2G2H8U7_9PROT
614_NapA,Arcobacter sp. FWKO B | tr|A0A7L8V4I5|A0A7L8V4I5_9PROT
615_NapA,Campylobacter coli | tr|A0A5T1KEY4|A0A5T1KEY4_CAMCO
616_NapA,Campylobacter concisus 13826 | 360104.CCC13826_0868
617_NapA,Campylobacter corcagiensis | 1448857.JFAP01000001_gene1025
618_NapA,Campylobacter corcagiensis | 1448857.JFAP01000001_gene968
619_NapA,Campylobacter corcagiensis | 1448857.JFAP01000007_gene263
620_NapA,Campylobacter fetus subsp. fetus 82-40 | 360106.CFF8240_1161
621_NapA,Campylobacter fetus subsp. venerealis NCTC 10354 | 983328.AFGH01000034_gene890
622_NapA,Campylobacter geochelonis | tr|A0A128EHN2|A0A128EHN2_9PROT
623_NapA,Campylobacter gracilis RM3268 | 553220.CAMGR0001_0420
624_NapA,Campylobacter gracilis RM3268 | 553220.CAMGR0001_2424
625_NapA,Campylobacter hominis ATCC BAA-381 | 360107.CHAB381_1716
626_NapA,Campylobacter lanienae | tr|A0A562Y6J0|A0A562Y6J0_9PROT
627_NapA,Campylobacter lari RM2100 | 306263.Cla_1018
628_NapA,Campylobacter mucosalis | tr|A0A6G5QGG4|A0A6G5QGG4_9PROT
629_NapA,Campylobacter showae CSUNSWCD | 1244083.CSUNSWCD_418
630_NapA,Campylobacter showae CSUNSWCD | 1244083.CSUNSWCD_953
631_NapA,Campylobacter sp. MIT 97-5078 | 1548153.LR59_04135
632_NapA,Campylobacter sputorum biovar sputorum | 32024.JMTI01000018_gene528
633_NapA,Campylobacter sputorum biovar sputorum | 32024.JMTI01000035_gene879
634_NapA,Campylobacter sputorum biovar sputorum | 32024.JMTI01000051_gene291
635_NapA,Campylobacter ureolyticus | 827.JFJK01000001_gene755
636_NapA,Candidatus Campylobacter infans | tr|A0A7H9CG75|A0A7H9CG75_9PROT
637_NapA,Malaciobacter halophilus | tr|A0A8B3RDG1|A0A8B3RDG1_9PROT
638_NapA,Sulfurospirillum barnesii SES-3 | 760154.Sulba_2216
639_NapA,Sulfurospirillum deleyianum DSM 6946 | 525898.Sdel_0806
640_NapA,Sulfurospirillum multivorans DSM 12446 | 1150621.SMUL_0934
641_NapA,Sulfurospirillum multivorans DSM 12446 | 1150621.SMUL_3120
642_NapA,Sulfurospirillum sp. MES | 1565314.OA34_07060
643_NapA,Sulfurospirillum sp. SCADC | 1537915.JU57_04670
644_NapA,Sulfurospirillum sp. UBA12182 | tr|A0A2D3VYW3|A0A2D3VYW3_9PROT
645_NapA,Helicobacteraceae | tr|A0A1J5FIK9|A0A1J5FIK9_9HELI
646_NapA,Helicobacter anseris | tr|A0A3D8J622|A0A3D8J622_9HELI
647_NapA,Helicobacter canadensis MIT 98-5491 | 537970.HCAN_1096
648_NapA,Helicobacter cetorum MIT 00-7128 | 182217.HCW_05885
649_NapA,Helicobacter cinaedi CCUG 18818 = ATCC BAA-847 | 537971.HCCG_00966
650_NapA,Helicobacter cinaedi CCUG 18818 = ATCC BAA-847 | 537971.HCCG_01596
651_NapA,Helicobacter felis ATCC 49179 | 936155.HFELIS_03130
652_NapA,Helicobacter mustelae 12198 | 679897.HMU11090
653_NapA,Helicobacter pametensis ATCC 51478 | 1408442.JADE01000008_gene3
654_NapA,Helicobacter pametensis ATCC 51478 | 1408442.JADE01000011_gene992
655_NapA,Helicobacter sp. 11S02629-2 | tr|A0A268TKP6|A0A268TKP6_9HELI
656_NapA,Helicobacter sp. 12S02232-10 | tr|A0A268TU18|A0A268TU18_9HELI
657_NapA,Helicobacter sp. 12S02634-8 | tr|A0A268TN94|A0A268TN94_9HELI
658_NapA,Helicobacter sp. 15-1451 | tr|A0A329ZWI9|A0A329ZWI9_9HELI
659_NapA,Helicobacter sp. 16-1353 | tr|A0A329ZEK6|A0A329ZEK6_9HELI
660_NapA,Helicobacter winghamensis ATCC BAA-430 | 556267.HWAG_01495
661_NapA,Hydrogenimonas sp. | tr|A0A3G9HI41|A0A3G9HI41_9PROT
662_NapA,Sulfurovum sp. | tr|A0A2G2MHP3|A0A2G2MHP3_9PROT
663_NapA,Sulfurovum sp. | tr|A0A2G2N6D0|A0A2G2N6D0_9PROT
664_NapA,Sulfurovum sp. | tr|A0A432T2W0|A0A432T2W0_9PROT
665_NapA,Sulfurovum sp. | tr|A0A523Y7A4|A0A523Y7A4_9PROT
666_NapA,Sulfurovum sp. AR | 1165841.SULAR_05223
667_NapA,Sulfurovum sp. AR | 1165841.SULAR_09304
668_NapA,Sulfurovum sp. AS07-7 | tr|A0A0C2VH22|A0A0C2VH22_9PROT
669_NapA,Sulfurovum sp. FS06-10 | tr|A0A0C2V167|A0A0C2V167_9PROT
670_NapA,Sulfurovum sp. NBC37-1 | 387093.SUN_0299
671_NapA,Sulfurovum sp. UBA12169 | tr|A0A2D3WKS8|A0A2D3WKS8_9PROT
672_NapA,Candidatus Sulfuricurvum sp. RIFRC-1 | 1249480.B649_06175
673_NapA,Candidatus Sulfuricurvum sp. RIFRC-1 | 1249480.B649_07125
674_NapA,Sulfuricurvum kujiense DSM 16994 | 709032.Sulku_0691
675_NapA,Sulfuricurvum kujiense DSM 16994 | 709032.Sulku_1385
676_NapA,Sulfurimonas autotrophica DSM 16294 | 563040.Saut_0734
677_NapA,Sulfurimonas autotrophica DSM 16294 | 563040.Saut_1251
