1NY4	r__Root
XP_003054121	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium vanettenii
CAD86894	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila simulans
XP_003073632	d__Eukaryota; p__Microsporidia
XP_003237519	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Onygenales; f__Arthrodermataceae; g__Trichophyton; s__Trichophyton rubrum
XP_003240005	d__Eukaryota
XP_003287882	d__Eukaryota; p__Evosea; c__Eumycetozoa; o__Dictyosteliales; f__Dictyosteliaceae; g__Dictyostelium; s__Dictyostelium purpureum
XP_003335159	d__Eukaryota; p__Basidiomycota; c__Pucciniomycetes; o__Pucciniales; f__Pucciniaceae; g__Puccinia; s__Puccinia graminis
XP_003377927	d__Eukaryota; p__Nematoda; c__Enoplea; o__Trichinellida; f__Trichinellidae; g__Trichinella; s__Trichinella spiralis
XP_003493276	d__Eukaryota; p__Arthropoda; c__Insecta; o__Hymenoptera; f__Apidae; g__Bombus; s__Bombus impatiens
XP_003504908	d__Eukaryota; p__Chordata; c__Mammalia; o__Rodentia; f__Cricetidae; g__Cricetulus; s__Cricetulus griseus
XP_003631521	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Vitales; f__Vitaceae; g__Vitis; s__Vitis vinifera
XP_003664442	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Thermothelomyces; s__Thermothelomyces thermophilus
CAG01954	d__Eukaryota; p__Chordata; c__Actinopteri; o__Tetraodontiformes; f__Tetraodontidae; g__Tetraodon; s__Tetraodon nigroviridis
XP_003682995	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Torulaspora; s__Torulaspora delbrueckii
XP_003686167	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Tetrapisispora; s__Tetrapisispora phaffii
XP_003687314	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Tetrapisispora; s__Tetrapisispora phaffii
XP_003709988	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Magnaporthales; f__Pyriculariaceae; g__Pyricularia; s__Pyricularia oryzae
XP_003879918	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Eucoccidiorida; f__Sarcocystidae; g__Neospora; s__Neospora caninum
XP_003888016	d__Eukaryota; p__Microsporidia
XP_004023838	d__Eukaryota; p__Ciliophora; c__Oligohymenophorea; o__Hymenostomatida
XP_004138229	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Cucurbitales; f__Cucurbitaceae; g__Cucumis; s__Cucumis sativus
XP_004231537	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Solanales; f__Solanaceae; g__Solanum; s__Solanum lycopersicum
XP_004345214	d__Eukaryota
ABN49305	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila melanogaster
CAJ01882	d__Eukaryota; p__Arthropoda; c__Insecta; o__Coleoptera; f__Biphyllidae; g__Biphyllus; s__Biphyllus lunatus
XP_004358736	d__Eukaryota; p__Evosea; c__Eumycetozoa; o__Acytosteliales; f__Cavenderiaceae; g__Cavenderia; s__Cavenderia fasciculata
XP_004409401	d__Eukaryota; p__Chordata; c__Mammalia; o__Carnivora; f__Odobenidae; g__Odobenus; s__Odobenus rosmarus
XP_004489433	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Fabales; f__Fabaceae; g__Cicer; s__Cicer arietinum
XP_004505439	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Fabales; f__Fabaceae; g__Cicer; s__Cicer arietinum
XP_004507193	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Fabales; f__Fabaceae; g__Cicer; s__Cicer arietinum
XP_004525884	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Tephritidae; g__Ceratitis; s__Ceratitis capitata
XP_004602323	d__Eukaryota; p__Chordata; c__Mammalia; o__Eulipotyphla; f__Soricidae; g__Sorex; s__Sorex araneus
XP_004660128	d__Eukaryota; p__Chordata; c__Mammalia; o__Rodentia; f__Dipodidae; g__Jaculus; s__Jaculus jaculus
XP_004710879	d__Eukaryota; p__Chordata; c__Mammalia
XP_004832255	d__Eukaryota; p__Apicomplexa; c__Aconoidasida; o__Piroplasmida; f__Theileriidae; g__Theileria; s__Theileria equi
CAL69116	d__Eukaryota; p__Chaetognatha; c__Sagittoidea; o__Phragmophora; f__Spadellidae; g__Spadella; s__Spadella cephaloptera
XP_004993476	d__Eukaryota
XP_005186269	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Muscidae; g__Musca; s__Musca domestica
XP_005537455	d__Eukaryota; p__Rhodophyta; c__Bangiophyceae; o__Cyanidiales; f__Cyanidiaceae; g__Cyanidioschyzon; s__Cyanidioschyzon merolae
XP_005645267	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae
XP_005718036	d__Eukaryota; p__Rhodophyta; c__Florideophyceae; o__Gigartinales; f__Gigartinaceae; g__Chondrus; s__Chondrus crispus
XP_005772848	d__Eukaryota; p__Haptista; c__Haptophyta; o__Isochrysidales; f__Noelaerhabdaceae; g__Emiliania; s__Emiliania huxleyi
XP_005835671	d__Eukaryota
XP_005844267	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Chlorellales; f__Chlorellaceae; g__Chlorella; s__Chlorella variabilis
XP_005875355	d__Eukaryota; p__Chordata; c__Mammalia; o__Chiroptera; f__Vespertilionidae; g__Myotis; s__Myotis brandtii
XP_005956691	d__Eukaryota; p__Chordata; c__Mammalia; o__Artiodactyla; f__Bovidae; g__Pantholops; s__Pantholops hodgsonii
CAL69117	d__Eukaryota; p__Chaetognatha; c__Sagittoidea; o__Phragmophora; f__Spadellidae; g__Spadella; s__Spadella cephaloptera
XP_005972627	d__Eukaryota; p__Chordata; c__Mammalia; o__Artiodactyla; f__Bovidae; g__Pantholops; s__Pantholops hodgsonii
XP_006362246	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Solanales; f__Solanaceae; g__Solanum; s__Solanum tuberosum
XP_006430607	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Sapindales; f__Rutaceae; g__Citrus; s__Citrus clementina
XP_006454436	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Agaricaceae; g__Agaricus; s__Agaricus bisporus
XP_006481678	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Sapindales; f__Rutaceae; g__Citrus; s__Citrus sinensis
XP_006668816	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Cordycipitaceae; g__Cordyceps; s__Cordyceps militaris
XP_006695025	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Chaetomium; s__Chaetomium thermophilum
XP_006762736	d__Eukaryota; p__Chordata; c__Mammalia; o__Chiroptera; f__Vespertilionidae; g__Myotis; s__Myotis davidii
XP_006881416	d__Eukaryota; p__Chordata; c__Mammalia; o__Macroscelidea; f__Macroscelididae; g__Elephantulus; s__Elephantulus edwardii
XP_006881910	d__Eukaryota; p__Chordata; c__Mammalia; o__Macroscelidea; f__Macroscelididae; g__Elephantulus; s__Elephantulus edwardii
CAO94721	d__Eukaryota; p__Acanthocephala; c__Palaeacanthocephala; o__Echinorhynchida; f__Pomphorhynchidae; g__Pomphorhynchus; s__Pomphorhynchus laevis
XP_006887176	d__Eukaryota; p__Chordata; c__Mammalia; o__Macroscelidea; f__Macroscelididae; g__Elephantulus; s__Elephantulus edwardii
XP_006895731	d__Eukaryota; p__Chordata; c__Mammalia; o__Macroscelidea; f__Macroscelididae; g__Elephantulus; s__Elephantulus edwardii
XP_006899490	d__Eukaryota; p__Chordata; c__Mammalia; o__Macroscelidea; f__Macroscelididae; g__Elephantulus; s__Elephantulus edwardii
XP_006900216	d__Eukaryota; p__Chordata; c__Mammalia; o__Macroscelidea; f__Macroscelididae; g__Elephantulus; s__Elephantulus edwardii
XP_006959682	d__Eukaryota; p__Basidiomycota; c__Wallemiomycetes; o__Wallemiales; f__Wallemiaceae; g__Wallemia; s__Wallemia mellicola
XP_007000680	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Tremella; s__Tremella mesenterica
XP_007029134	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Malvales; f__Malvaceae; g__Theobroma; s__Theobroma cacao
XP_007068218	d__Eukaryota; p__Chordata
XP_007145744	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Fabales; f__Fabaceae; g__Phaseolus; s__Phaseolus vulgaris
XP_007163021	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Fabales; f__Fabaceae; g__Phaseolus; s__Phaseolus vulgaris
CAQ37773	d__Eukaryota; p__Acanthocephala; c__Palaeacanthocephala; o__Echinorhynchida; f__Echinorhynchidae; g__Echinorhynchus; s__Echinorhynchus truttae
XP_007202837	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Prunus; s__Prunus persica
XP_007265450	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Hymenochaetales; f__Hymenochaetaceae; g__Fomitiporia; s__Fomitiporia mediterranea
XP_007294056	d__Eukaryota; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Dermateaceae; g__Marssonina; s__Marssonina brunnea
XP_007298803	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Stereaceae; g__Stereum; s__Stereum hirsutum
XP_007312348	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Boletales; f__Serpulaceae; g__Serpula; s__Serpula lacrymans
XP_007325039	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Agaricaceae; g__Agaricus; s__Agaricus bisporus
XP_007360107	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Polyporaceae; g__Dichomitus; s__Dichomitus squalens
XP_007377200	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Spathaspora; s__Spathaspora passalidarum
XP_007379088	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Corticiales; f__Punctulariaceae; g__Punctularia; s__Punctularia strigosozonata
XP_007390372	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Phanerochaetaceae; g__Phanerochaete; s__Phanerochaete carnosa
CAX71894	d__Eukaryota; p__Platyhelminthes; c__Trematoda; o__Strigeidida; f__Schistosomatidae; g__Schistosoma; s__Schistosoma japonicum
XP_007489533	d__Eukaryota; p__Chordata; c__Mammalia; o__Didelphimorphia; f__Didelphidae; g__Monodelphis; s__Monodelphis domestica
XP_007573856	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cyprinodontiformes; f__Poeciliidae; g__Poecilia; s__Poecilia formosa
XP_007605096	d__Eukaryota; p__Microsporidia
XP_007668661	d__Eukaryota; p__Chordata; c__Mammalia; o__Monotremata; f__Ornithorhynchidae; g__Ornithorhynchus; s__Ornithorhynchus anatinus
XP_007681584	d__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Mycosphaerellales; f__Teratosphaeriaceae; g__Baudoinia; s__Baudoinia panamericana
XP_007736995	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Capronia; s__Capronia epimyces
XP_007739321	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__Cladophialophora psammophila
XP_007753679	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__Cladophialophora yegresii
XP_007762610	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Boletales; f__Coniophoraceae; g__Coniophora; s__Coniophora puteana
XP_007779255	d__Eukaryota; p__Ascomycota; c__Dothideomycetes
CAX78411	d__Eukaryota; p__Platyhelminthes; c__Trematoda; o__Strigeidida; f__Schistosomatidae; g__Schistosoma; s__Schistosoma japonicum
XP_007807274	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__Metarhizium; s__Metarhizium acridum
XP_007820014	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__Metarhizium; s__Metarhizium robertsii
XP_007827699	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Sporocadaceae; g__Pestalotiopsis; s__Pestalotiopsis fici
XP_007860288	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Gloeophyllales; f__Gloeophyllaceae; g__Gloeophyllum; s__Gloeophyllum trabeum
XP_007872408	d__Eukaryota; p__Ascomycota; c__Pneumocystidomycetes; o__Pneumocystidales; f__Pneumocystidaceae; g__Pneumocystis; s__Pneumocystis murina
XP_007879095	d__Eukaryota; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Anthracocystis; s__Anthracocystis flocculosa
XP_007909405	d__Eukaryota; p__Chordata; c__Chondrichthyes; o__Chimaeriformes; f__Callorhinchidae; g__Callorhinchus; s__Callorhinchus milii
XP_008033117	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Polyporaceae; g__Trametes; s__Trametes versicolor
XP_008074450	d__Eukaryota; p__Microsporidia
XP_008085508	d__Eukaryota; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiaceae; g__Glarea; s__Glarea lozoyensis
CBH38762	d__Archaea
XP_008219100	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Prunus; s__Prunus mume
XP_008241134	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Prunus; s__Prunus mume
XP_008342573	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Malus; s__Malus domestica
XP_008391409	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Malus; s__Malus domestica
XP_008391542	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Malus; s__Malus domestica
XP_008476639	d__Eukaryota; p__Arthropoda; c__Insecta; o__Hemiptera; f__Liviidae; g__Diaphorina; s__Diaphorina citri
XP_008548576	d__Eukaryota; p__Arthropoda; c__Insecta; o__Hymenoptera; f__Braconidae; g__Microplitis; s__Microplitis demolitor
XP_008719512	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Cyphellophoraceae; g__Cyphellophora; s__Cyphellophora europaea
XP_008789172	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Arecales; f__Arecaceae; g__Phoenix; s__Phoenix dactylifera
XP_008857811	d__Eukaryota; p__Evosea
CBJ30820	d__Eukaryota
XP_008872397	d__Eukaryota
XP_008887011	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Eucoccidiorida; f__Sarcocystidae; g__Hammondia; s__Hammondia hammondi
XP_009032667	d__Eukaryota
XP_009061809	d__Eukaryota; p__Mollusca; c__Gastropoda
XP_009122664	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Brassica; s__Brassica rapa
XP_009176183	d__Eukaryota; p__Platyhelminthes; c__Trematoda; o__Opisthorchiida; f__Opisthorchiidae; g__Opisthorchis; s__Opisthorchis viverrini
XP_009205271	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Cercopithecidae; g__Papio; s__Papio anubis
XP_009222441	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Magnaporthales; f__Magnaporthaceae; g__Gaeumannomyces; s__Gaeumannomyces tritici
XP_009251825	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium pseudograminearum
XP_009265179	d__Eukaryota; p__Microsporidia
CBY11488	d__Eukaryota; p__Chordata; c__Appendicularia; o__Copelata; f__Oikopleuridae; g__Oikopleura; s__Oikopleura dioica
XP_009269323	d__Eukaryota; p__Basidiomycota; c__Wallemiomycetes; o__Wallemiales; f__Wallemiaceae; g__Wallemia; s__Wallemia ichthyophaga
XP_009311485	d__Eukaryota; p__Euglenozoa; c__Kinetoplastea; o__Trypanosomatida; f__Trypanosomatidae; g__Trypanosoma; s__Trypanosoma grayi
XP_009350203	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Pyrus; s__Pyrus x bretschneideri
XP_009374384	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Pyrus; s__Pyrus x bretschneideri
XP_009374402	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Pyrus; s__Pyrus x bretschneideri
XP_009396924	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Zingiberales; f__Musaceae; g__Musa; s__Musa acuminata
XP_009397683	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Zingiberales; f__Musaceae; g__Musa; s__Musa acuminata
XP_009495731	d__Eukaryota
XP_009541238	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Bondarzewiaceae; g__Heterobasidion; s__Heterobasidion irregulare
XP_009599481	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Solanales; f__Solanaceae; g__Nicotiana; s__Nicotiana tomentosiformis
ABO47825	d__Eukaryota; p__Arthropoda; c__Insecta; o__Lepidoptera; f__Nymphalidae; g__Heliconius; s__Heliconius melpomene
CCA17556	d__Eukaryota
XP_009801041	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Solanales; f__Solanaceae; g__Nicotiana; s__Nicotiana sylvestris
XP_010233649	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Poales; f__Poaceae; g__Brachypodium; s__Brachypodium distachyon
XP_010241388	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Proteales; f__Nelumbonaceae; g__Nelumbo; s__Nelumbo nucifera
XP_010321127	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Solanales; f__Solanaceae; g__Solanum; s__Solanum lycopersicum
XP_010342511	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Cebidae; g__Saimiri; s__Saimiri boliviensis
XP_010343673	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Cebidae; g__Saimiri; s__Saimiri boliviensis
XP_010349165	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Cebidae; g__Saimiri; s__Saimiri boliviensis
XP_010378210	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Cercopithecidae; g__Rhinopithecus; s__Rhinopithecus roxellana
XP_010423655	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Camelina; s__Camelina sativa
XP_010521002	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Cleomaceae; g__Tarenaya; s__Tarenaya hassleriana
CCA69900	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Serendipitaceae; g__Serendipita; s__Serendipita indica
XP_010580216	d__Eukaryota; p__Chordata; c__Aves; o__Accipitriformes; f__Accipitridae; g__Haliaeetus; s__Haliaeetus leucocephalus
XP_010684187	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Caryophyllales; f__Chenopodiaceae; g__Beta; s__Beta vulgaris
XP_010763968	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Onygenales
XP_011096853	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Lamiales; f__Pedaliaceae; g__Sesamum; s__Sesamum indicum
XP_011120419	d__Eukaryota; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae; g__Arthrobotrys; s__Arthrobotrys oligospora
XP_011129012	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Eugregarinorida; f__Gregarinidae; g__Gregarina; s__Gregarina niphandrodes
XP_011276364	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Wickerhamomyces; s__Wickerhamomyces ciferrii
XP_011317042	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium graminearum
XP_011386732	d__Eukaryota; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Ustilago; s__Ustilago maydis
XP_011400010	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Chlorellales; f__Chlorellaceae; g__Auxenochlorella; s__Auxenochlorella protothecoides
CCC48663	d__Eukaryota; p__Euglenozoa; c__Kinetoplastea; o__Trypanosomatida; f__Trypanosomatidae; g__Trypanosoma; s__Trypanosoma vivax
XP_011414070	d__Eukaryota; p__Mollusca; c__Bivalvia; o__Ostreoida; f__Ostreidae; g__Crassostrea; s__Crassostrea gigas
XP_011458735	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Fragaria; s__Fragaria vesca
XP_011627494	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Amborellales; f__Amborellaceae; g__Amborella; s__Amborella trichopoda
XP_011875820	d__Eukaryota; p__Arthropoda; c__Insecta; o__Hymenoptera; f__Formicidae; g__Vollenhovia; s__Vollenhovia emeryi
XP_011878495	d__Eukaryota; p__Arthropoda; c__Insecta; o__Hymenoptera; f__Formicidae; g__Vollenhovia; s__Vollenhovia emeryi
XP_012049594	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Cryptococcaceae; g__Cryptococcus; s__Cryptococcus neoformans
XP_012200505	d__Eukaryota
XP_012271231	d__Eukaryota; p__Arthropoda; c__Insecta; o__Hymenoptera; f__Orussidae; g__Orussus; s__Orussus abietinus
XP_012351596	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hylobatidae; g__Nomascus; s__Nomascus leucogenys
XP_012578658	d__Eukaryota; p__Chordata; c__Mammalia; o__Eulipotyphla; f__Talpidae; g__Condylura; s__Condylura cristata
CCC48664	d__Eukaryota; p__Euglenozoa; c__Kinetoplastea; o__Trypanosomatida; f__Trypanosomatidae; g__Trypanosoma; s__Trypanosoma vivax
XP_012647407	d__Eukaryota; p__Apicomplexa; c__Aconoidasida; o__Piroplasmida; f__Babesiidae; g__Babesia; s__Babesia microti
XP_012695058	d__Eukaryota; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Clupea; s__Clupea harengus
XP_012759080	d__Eukaryota; p__Evosea; c__Eumycetozoa; o__Acytosteliales; f__Acytosteliaceae; g__Acytostelium; s__Acytostelium subglobosum
XP_012829691	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Lamiales; f__Phrymaceae; g__Erythranthe; s__Erythranthe guttata
XP_012829692	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Lamiales; f__Phrymaceae; g__Erythranthe; s__Erythranthe guttata
XP_012830852	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Lamiales; f__Phrymaceae; g__Erythranthe; s__Erythranthe guttata
XP_012847390	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Lamiales; f__Phrymaceae; g__Erythranthe; s__Erythranthe guttata
XP_013058795	d__Eukaryota; p__Microsporidia
XP_013117044	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Muscidae; g__Stomoxys; s__Stomoxys calcitrans
XP_013121810	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cichliformes; f__Cichlidae; g__Oreochromis; s__Oreochromis niloticus
CCE45216	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Candida; s__Candida parapsilosis
XP_013175568	d__Eukaryota; p__Arthropoda; c__Insecta; o__Lepidoptera; f__Papilionidae; g__Papilio; s__Papilio xuthus
XP_013232599	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Eucoccidiorida; f__Eimeriidae; g__Eimeria; s__Eimeria tenella
XP_013241749	d__Eukaryota; p__Basidiomycota; c__Exobasidiomycetes; o__Georgefischeriales; f__Tilletiariaceae; g__Tilletiaria; s__Tilletiaria anomala
XP_013274216	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Rhinocladiella; s__Rhinocladiella mackenziei
XP_013328757	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Rasamsonia; s__Rasamsonia emersonii
XP_013337428	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Eucoccidiorida; f__Eimeriidae; g__Eimeria; s__Eimeria maxima
XP_013756432	d__Eukaryota
XP_013900908	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Sphaeropleales; f__Selenastraceae; g__Monoraphidium; s__Monoraphidium neglectum
XP_013935391	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Ogataea; s__Ogataea parapolymorpha
XP_014156646	d__Eukaryota
CCE85228	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Millerozyma; s__Millerozyma farinosa
XP_014169028	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Ophiostomatales; f__Ophiostomataceae; g__Grosmannia; s__Grosmannia clavigera
XP_014180071	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Trichosporon; s__Trichosporon asahii
XP_014210291	d__Eukaryota; p__Arthropoda; c__Insecta; o__Hymenoptera; f__Encyrtidae; g__Copidosoma; s__Copidosoma floridanum
XP_014211287	d__Eukaryota; p__Arthropoda; c__Insecta; o__Hymenoptera; f__Encyrtidae; g__Copidosoma; s__Copidosoma floridanum
XP_014223904	d__Eukaryota; p__Arthropoda; c__Insecta; o__Hymenoptera; f__Trichogrammatidae; g__Trichogramma; s__Trichogramma pretiosum
XP_014260318	d__Eukaryota; p__Arthropoda; c__Insecta; o__Hemiptera; f__Cimicidae; g__Cimex; s__Cimex lectularius
XP_014276907	d__Eukaryota; p__Arthropoda; c__Insecta; o__Hemiptera; f__Pentatomidae; g__Halyomorpha; s__Halyomorpha halys
XP_014415025	d__Eukaryota; p__Chordata; c__Mammalia; o__Artiodactyla; f__Camelidae; g__Camelus; s__Camelus ferus
XP_014527924	d__Eukaryota
XP_014528801	d__Eukaryota
CCE86327	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Millerozyma; s__Millerozyma farinosa
XP_014529294	d__Eukaryota
XP_014564366	d__Eukaryota; p__Microsporidia
XP_014570807	d__Eukaryota; p__Basidiomycota; c__Mixiomycetes; o__Mixiales; f__Mixiaceae; g__Mixia; s__Mixia osmundae
XP_014600521	d__Eukaryota; p__Arthropoda; c__Insecta; o__Hymenoptera; f__Vespidae; g__Polistes; s__Polistes canadensis
XP_014659168	d__Eukaryota; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Moesziomyces; s__Moesziomyces antarcticus
