LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1_NarI,Root | 1046724.KB889897_gene3336
322_NarI,Rhodococcus sp. UNC363MFTsu5.1 | 1449069.JMLO01000001_gene1926
323_NarI,Rhodococcus sp. UNC363MFTsu5.1 | 1449069.JMLO01000001_gene1983
324_NarI,Rhodococcus sp. UNC363MFTsu5.1 | 1449069.JMLO01000019_gene2778
325_NarI,Rhodococcus spelaei | tr|A0A541B3U9|A0A541B3U9_9NOCA
326_NarI,Rhodococcus spelaei | tr|A0A541B7V5|A0A541B7V5_9NOCA
327_NarI,Rhodococcus triatomae BKS 15-14 | 1278078.G419_01840
328_NarI,Rhodococcus triatomae BKS 15-14 | 1278078.G419_06882
329_NarI,Rhodococcus triatomae BKS 15-14 | 1278078.G419_13236
330_NarI,Smaragdicoccus niigatensis DSM 44881 = NBRC 103563 | 1123258.AQXZ01000019_gene3226
331_NarI,Frankia sp. BMG5.11 | tr|A0A4R1D7H5|A0A4R1D7H5_9ACTN
332_NarI,Blastococcus saxobsidens DD2 | 1146883.BLASA_4870
333_NarI,Blastococcus sp. AZ43 | tr|A0A4Y9NGI5|A0A4Y9NGI5_9ACTN
334_NarI,Blastococcus sp. TF02-9 | tr|A0A366ZM84|A0A366ZM84_9ACTN
335_NarI,Blastococcus sp. TF02A-26 | tr|A0A366ZR73|A0A366ZR73_9ACTN
336_NarI,Blastococcus sp. TF02A-30 | tr|A0A367A9X9|A0A367A9X9_9ACTN
337_NarI,Blastococcus sp. TF02A_35 | tr|A0A4Y9M9K2|A0A4Y9M9K2_9ACTN
338_NarI,Candidatus Blastococcus massiliensis AP3 | 1211815.CBYP010000018_gene2843
339_NarI,Geodermatophilus sp. DF01_2 | tr|A0A4Y9N8C8|A0A4Y9N8C8_9ACTN
340_NarI,Geodermatophilus sp. TF02-6 | tr|A0A366ZEH4|A0A366ZEH4_9ACTN
341_NarI,Glycomyces albidus | tr|A0A6L5G3W7|A0A6L5G3W7_9ACTN
342_NarI,Glycomyces arizonensis DSM 44726 | 1121926.AXWO01000002_gene1360
343_NarI,Glycomyces artemisiae | tr|A0A850CC17|A0A850CC17_9ACTN
344_NarI,Glycomyces paridis | tr|A0A4S8PFF2|A0A4S8PFF2_9ACTN
345_NarI,Stackebrandtia nassauensis DSM 44728 | 446470.Snas_5210
346_NarI,Jatrophihabitans sp. | tr|A0A522QD76|A0A522QD76_9ACTN
347_NarI,Jiangella aurantiaca | tr|A0A4R5AIK0|A0A4R5AIK0_9ACTN
348_NarI,Phytoactinopolyspora halotolerans | tr|A0A6L9S6I3|A0A6L9S6I3_9ACTN
349_NarI,Timonella senegalensis JC301 | 1095772.CAHH01000041_gene1264
350_NarI,Beutenbergia cavernae DSM 12333 | 471853.Bcav_2806
351_NarI,Georgenia sp. Z294 | tr|A0A5B8AQL3|A0A5B8AQL3_9MICO
352_NarI,Georgenia sp. Z443 | tr|A0A5B8BYT6|A0A5B8BYT6_9MICO
353_NarI,Georgenia sp. Z446 | tr|A0A552WWT6|A0A552WWT6_9MICO
354_NarI,Georgenia subflava | tr|A0A6N7ED55|A0A6N7ED55_9MICO
355_NarI,Georgenia thermotolerans | tr|A0A7J5UKD0|A0A7J5UKD0_9MICO
356_NarI,Brevibacterium aurantiacum | tr|A0A3Q9NTU8|A0A3Q9NTU8_9MICO
357_NarI,Brevibacterium sp. VCM10 | 1381751.JAJB01000031_gene845
358_NarI,Cellulomonas denverensis | tr|A0A7X6KSX4|A0A7X6KSX4_9CELL
359_NarI,Cellulomonas fimi ATCC 484 | 590998.Celf_1331
360_NarI,Cellulomonas fimi ATCC 484 | 590998.Celf_3099
361_NarI,Cellulomonas fimi | tr|A0A7Y0QHH7|A0A7Y0QHH7_CELFI
362_NarI,Cellulomonas flavigena DSM 20109 | 446466.Cfla_1760
363_NarI,Cellulomonas gilvus ATCC 13127 | 593907.Celgi_3021
364_NarI,Cellulomonas sp. H30R-01 | tr|A0A6C0FIP3|A0A6C0FIP3_9CELL
365_NarI,Cellulomonas sp. H30R-01 | tr|A0A6C0FRN3|A0A6C0FRN3_9CELL
366_NarI,Cellulomonas sp. HLT2-17 | tr|A0A4V1ZHS0|A0A4V1ZHS0_9CELL
367_NarI,Cellulomonas sp. HZM | 1454010.JEOE01000002_gene462
368_NarI,Cellulomonas sp. JZ18 | tr|A0A6I6A781|A0A6I6A781_9CELL
369_NarI,Cellulomonas sp. KRMCY2 | 1304865.JAGF01000001_gene2535
370_NarI,Cellulomonas sp. URHE0023 | 1380354.JIAN01000009_gene3658
371_NarI,Cellulomonas sp. WB94 | tr|A0A2T9XQ06|A0A2T9XQ06_9CELL
372_NarI,Cellulomonas sp. zg-ZUI157 | tr|A0A8E8EUB7|A0A8E8EUB7_9CELL
373_NarI,Cellulomonas sp. zg-ZUI188 | tr|A0A8E5SJ32|A0A8E5SJ32_9CELL
374_NarI,Oerskovia turbata | 1713.JOFV01000003_gene1463
375_NarI,Oerskovia turbata | 1713.JOFV01000013_gene975
376_NarI,Paraoerskovia marina DSM 21750 | 1122933.JNIY01000004_gene2059
377_NarI,Brachybacterium avium | tr|A0A220U9J7|A0A220U9J7_9MICO
378_NarI,Brachybacterium faecium DSM 4810 | 446465.Bfae_18690
379_NarI,Brachybacterium paraconglomeratum LC44 | 1064537.AGSO01000013_gene926
380_NarI,Brachybacterium saurashtrense | tr|A0A345YN48|A0A345YN48_9MICO
381_NarI,Brachybacterium sp. Z12 | tr|A0A7G9TNP7|A0A7G9TNP7_9MICO
382_NarI,Brachybacterium squillarum M-6-3 | 1074488.AGBX01000007_gene1825
383_NarI,Brachybacterium vulturis | tr|A0A291GN44|A0A291GN44_9MICO
384_NarI,Brachybacterium vulturis | tr|A0A291GPJ2|A0A291GPJ2_9MICO
385_NarI,Flexivirga caeni | tr|A0A3M9MGY0|A0A3M9MGY0_9MICO
386_NarI,Leekyejoonella antrihumi | tr|A0A563DZW1|A0A563DZW1_9MICO
387_NarI,Yimella sp. RIT 621 | tr|A0A4Q3XHR2|A0A4Q3XHR2_9MICO
388_NarI,Yimella sp. cx-51 | tr|A0A8A5YUM0|A0A8A5YUM0_9MICO
389_NarI,Dermatophilaceae | tr|A0A7Y5JTD7|A0A7Y5JTD7_9MICO
390_NarI,Austwickia chelonae NBRC 105200 | 1184607.AUCHE_16_01400
391_NarI,Austwickia sp. | tr|A0A7T9E387|A0A7T9E387_9MICO
392_NarI,Kineosphaera limosa NBRC 100340 | 1184609.KILIM_079_00180
393_NarI,Mobilicoccus pelagius NBRC 104925 | 1089455.MOPEL_135_01270
394_NarI,Intrasporangiaceae bacterium URHB0013 | 1380370.JIBA01000013_gene1248
395_NarI,Intrasporangiaceae | tr|A0A7C6LRI1|A0A7C6LRI1_9MICO
396_NarI,Intrasporangiaceae | tr|A0A847MUP0|A0A847MUP0_9MICO
397_NarI,Arsenicicoccus bolidensis DSM 15745 | 1121017.AUFG01000024_gene2097
398_NarI,Arsenicicoccus sp. MKL-02 | tr|A0A6I3ICG4|A0A6I3ICG4_9MICO
399_NarI,Intrasporangium calvum DSM 43043 | 710696.Intca_0383
400_NarI,Intrasporangium oryzae NRRL B-24470 | 1386089.N865_21270
401_NarI,Janibacter limosus | tr|A0A4P6MN26|A0A4P6MN26_9MICO
402_NarI,Janibacter melonis | tr|A0A5P8FL73|A0A5P8FL73_9MICO
403_NarI,Janibacter sp. HTCC2649 | 313589.JNB_13983
404_NarI,Janibacter terrae | tr|A0A3D1LAB0|A0A3D1LAB0_9MICO
405_NarI,Knoellia aerolata DSM 18566 | 1385519.N801_06940
406_NarI,Knoellia flava TL1 | 1385518.N798_01230
407_NarI,Knoellia sinensis KCTC 19936 | 1385520.N802_12585
408_NarI,Knoellia subterranea KCTC 19937 | 1385521.N803_12155
409_NarI,Phycicoccus elongatus Lp2 | 1193181.BN10_750007
410_NarI,Phycicoccus jejuensis | 367299.JOEE01000003_gene2822
411_NarI,Phycicoccus sp. | tr|A0A7Y0CSQ7|A0A7Y0CSQ7_9MICO
412_NarI,Phycicoccus sp. | tr|A0A7Y0H7Y6|A0A7Y0H7Y6_9MICO
413_NarI,Phycicoccus sp. HDW14 | tr|A0A6G8FZK8|A0A6G8FZK8_9MICO
414_NarI,Terracoccus sp. 273MFTsu3.1 | 1172188.KB911827_gene4266
415_NarI,Tetrasphaera sp. F2B08 | tr|A0A6I1G5G3|A0A6I1G5G3_9MICO
416_NarI,Jonesia denitrificans DSM 20603 | 471856.Jden_1238
417_NarI,Jonesia quinghaiensis DSM 15701 | 1122130.AUHN01000008_gene1478
418_NarI,Microbacteriaceae | tr|A0A522NR86|A0A522NR86_9MICO
419_NarI,Agromyces atrinae | tr|A0A4Q2M6A2|A0A4Q2M6A2_9MICO
420_NarI,Agromyces intestinalis | tr|A0A5C1YFY1|A0A5C1YFY1_9MICO
421_NarI,Agromyces italicus DSM 16388 | 1120959.ATXF01000009_gene666
422_NarI,Agromyces sp. CFH 90414 | tr|A0A6I2F999|A0A6I2F999_9MICO
423_NarI,Agromyces sp. G127AT | tr|A0A8B0S3L0|A0A8B0S3L0_9MICO
424_NarI,Agromyces sp. MMS17-SY077 | tr|A0A6I4NU47|A0A6I4NU47_9MICO
425_NarI,Agromyces sp. NEAU-184 | tr|A0A5S4V576|A0A5S4V576_9MICO
426_NarI,Cryobacterium flavum | tr|A0A4R8VEQ7|A0A4R8VEQ7_9MICO
427_NarI,Cryobacterium levicorallinum | tr|A0A4R8VSA2|A0A4R8VSA2_9MICO
428_NarI,Cryobacterium luteum | tr|A0A1H8DGL2|A0A1H8DGL2_9MICO
429_NarI,Cryobacterium mesophilum | tr|A0A4V3I9P0|A0A4V3I9P0_9MICO
430_NarI,Cryobacterium roopkundense | 1001240.GY21_07790
431_NarI,Cryobacterium sp. Hb1 | tr|A0A4Y8KB92|A0A4Y8KB92_9MICO
432_NarI,Cryobacterium sp. Hh14 | tr|A0A4R8ZUW9|A0A4R8ZUW9_9MICO
433_NarI,Cryobacterium sp. Hh14 | tr|A0A4R9A1G9|A0A4R9A1G9_9MICO
434_NarI,Cryobacterium sp. Hh38 | tr|A0A5F0GUP6|A0A5F0GUP6_9MICO
435_NarI,Cryobacterium sp. Hh4 | tr|A0A4V3IUP4|A0A4V3IUP4_9MICO
436_NarI,Cryobacterium sp. Hz9 | tr|A0A4R8UTM8|A0A4R8UTM8_9MICO
437_NarI,Cryobacterium sp. MDB1-18-1 | tr|A0A6D1VC85|A0A6D1VC85_9MICO
438_NarI,Cryobacterium sp. MDB2-B | tr|A0A4R8VU95|A0A4R8VU95_9MICO
439_NarI,Cryobacterium sp. MDT1-3 | tr|A0A4R8WHE4|A0A4R8WHE4_9MICO
440_NarI,Cryobacterium sp. RHLS22-1 | tr|A0A4R8W067|A0A4R8W067_9MICO
441_NarI,Cryobacterium sp. RHLT2-21 | tr|A0A4R8W3L1|A0A4R8W3L1_9MICO
442_NarI,Cryobacterium sp. Sr39 | tr|A0A4R9ACM3|A0A4R9ACM3_9MICO
443_NarI,Cryobacterium sp. Sr39 | tr|A0A4R9AH19|A0A4R9AH19_9MICO
444_NarI,Cryobacterium sp. Sr47 | tr|A0A4V6QG14|A0A4V6QG14_9MICO
445_NarI,Cryobacterium sp. Sr54 | tr|A0A4R9BMY0|A0A4R9BMY0_9MICO
446_NarI,Cryobacterium sp. Sr8 | tr|A0A4R9BG85|A0A4R9BG85_9MICO
447_NarI,Cryobacterium sp. TMS1-13-1 | tr|A0A4R8Z6F4|A0A4R8Z6F4_9MICO
448_NarI,Cryobacterium sp. TMT1-51 | tr|A0A4Y8JZJ4|A0A4Y8JZJ4_9MICO
449_NarI,Cryobacterium sp. TMT2-10 | tr|A0A6H3KBL4|A0A6H3KBL4_9MICO
450_NarI,Cryobacterium sp. TMT2-16 | tr|A0A5F0G2Q1|A0A5F0G2Q1_9MICO
451_NarI,Cryobacterium sp. TMT2-17-1 | tr|A0A5F0FPG9|A0A5F0FPG9_9MICO
452_NarI,Cryobacterium sp. TMT2-18-2 | tr|A0A8G8QC04|A0A8G8QC04_9MICO
453_NarI,Cryobacterium sp. TMT4-31 | tr|A0A7I0EBR1|A0A7I0EBR1_9MICO
454_NarI,Cryobacterium sp. TMT4-31 | tr|A0A7I0EI78|A0A7I0EI78_9MICO
455_NarI,Cryobacterium sp. TmT2-48-2 | tr|A0A4R8XT79|A0A4R8XT79_9MICO
456_NarI,Cryobacterium sp. TmT3-12 | tr|A0A7I0EHF5|A0A7I0EHF5_9MICO
457_NarI,Curtobacterium sp. S6 | 1479623.JHEL01000015_gene1098
458_NarI,Gulosibacter molinativorax DSM 13485 | 1121934.AUDX01000005_gene83
459_NarI,Humibacter albus DSM 18994 | 1121952.ATXT01000015_gene356
460_NarI,Humibacter sp. WJ7-1 | tr|A0A5B8M1L9|A0A5B8M1L9_9MICO
461_NarI,Lacisediminihabitans profunda | tr|A0A5C8UQ75|A0A5C8UQ75_9MICO
462_NarI,Leifsonia rubra CMS 76R | 1348338.ADILRU_0998
463_NarI,Leucobacter denitrificans | tr|A0A7G9S424|A0A7G9S424_9MICO
464_NarI,Leucobacter viscericola | tr|A0A6G7XDF5|A0A6G7XDF5_9MICO
465_NarI,Microbacterium caowuchunii | tr|A0A5N0TF56|A0A5N0TF56_9MICO
466_NarI,Microbacterium chengjingii | tr|A0A879SJ68|A0A879SJ68_9MICO
467_NarI,Microbacterium esteraromaticum | tr|A0A2V4PRQ6|A0A2V4PRQ6_9MICO
468_NarI,Microbacterium hominis | tr|A0A7D4UIS1|A0A7D4UIS1_9MICO
469_NarI,Microbacterium luticocti DSM 19459 | 1122239.AULS01000008_gene2330
470_NarI,Microbacterium protaetiae | tr|A0A4P6EE35|A0A4P6EE35_9MICO
471_NarI,Microbacterium radiodurans | tr|A0A5J5IR79|A0A5J5IR79_9MICO
472_NarI,Microbacterium sp. | tr|A0A519GNH8|A0A519GNH8_9MICO
473_NarI,Microbacterium sp. | tr|A0A8I1Q4P8|A0A8I1Q4P8_9MICO
474_NarI,Microbacterium sp. Cr-K20 | 1452536.JARE01000064_gene345
475_NarI,Microbacterium sp. KROCY2 | 1305732.JAGG01000001_gene292
476_NarI,Microbacterium sp. NEAU-LLE | tr|A0A371NYE8|A0A371NYE8_9MICO
477_NarI,Microbacterium wangchenii | tr|A0A6D1IBU1|A0A6D1IBU1_9MICO
478_NarI,Mycetocola tolaasinivorans | tr|A0A3L7A5D1|A0A3L7A5D1_9MICO
479_NarI,Planctomonas sp. JC2975 | tr|A0A848RLB2|A0A848RLB2_9MICO
480_NarI,Arthrobacter castelli DSM 16402 | 1121019.AUMN01000005_gene2789
481_NarI,Arthrobacter crystallopoietes | tr|A0A8A5UXU8|A0A8A5UXU8_9MICC
482_NarI,Arthrobacter echini | tr|A0A4S5EAG8|A0A4S5EAG8_9MICC
483_NarI,Arthrobacter glacialis | tr|A0A2S4A166|A0A2S4A166_ARTGL
484_NarI,Arthrobacter livingstonensis | tr|A0A2V5L2U4|A0A2V5L2U4_9MICC
485_NarI,Arthrobacter psychrochitiniphilus | tr|A0A2V3DUN1|A0A2V3DUN1_9MICC
486_NarI,Arthrobacter silviterrae | tr|A0A6M1QTW6|A0A6M1QTW6_9MICC
487_NarI,Arthrobacter sp. | tr|A0A3B9VX25|A0A3B9VX25_ARTSP
488_NarI,Arthrobacter sp. 162MFSha1.1 | 1151119.KB895490_gene2075
489_NarI,Arthrobacter sp. 24S4-2 | tr|A0A4P8GNK2|A0A4P8GNK2_9MICC
490_NarI,Arthrobacter sp. AETb3-4 | tr|A0A7Y7IEW5|A0A7Y7IEW5_9MICC
491_NarI,Arthrobacter sp. AFG7.2 | tr|A0A2J8IF76|A0A2J8IF76_9MICC
492_NarI,Arthrobacter sp. AQ5-05 | tr|A0A329Z5D0|A0A329Z5D0_9MICC
493_NarI,Arthrobacter sp. BL-252-APC-1A | tr|A0A6N7UUU8|A0A6N7UUU8_9MICC
494_NarI,Arthrobacter sp. C9C5 | tr|A0A7Y6E8G9|A0A7Y6E8G9_9MICC
495_NarI,Arthrobacter sp. CAU 1506 | tr|A0A4U0HHB6|A0A4U0HHB6_9MICC
496_NarI,Arthrobacter sp. FB24 | 290399.Arth_0317
497_NarI,Arthrobacter sp. H-02-3 | tr|A0A315TY47|A0A315TY47_9MICC
498_NarI,Arthrobacter sp. HMWF013 | tr|A0A2R7RHA2|A0A2R7RHA2_9MICC
499_NarI,Arthrobacter sp. MYb227 | tr|A0A2S8WVL0|A0A2S8WVL0_9MICC
500_NarI,Arthrobacter sp. PAMC25564 | tr|A0A4P7SPI2|A0A4P7SPI2_9MICC
501_NarI,Arthrobacter sp. SDTb3-6 | tr|A0A7Y7IQM5|A0A7Y7IQM5_9MICC
502_NarI,Arthrobacter sp. UKPF54-2 | tr|A0A5B8JEI4|A0A5B8JEI4_9MICC
503_NarI,Arthrobacter sp. UNC362MFTsu5.1 | 1449044.JMLE01000008_gene2205
504_NarI,Arthrobacter sp. zg-ZUI122 | tr|A0A8F1MET5|A0A8F1MET5_9MICC
505_NarI,Arthrobacter sp. zg-ZUI227 | tr|A0A8E8BPJ7|A0A8E8BPJ7_9MICC
506_NarI,Arthrobacter yangruifuii | tr|A0A5N6MTD1|A0A5N6MTD1_9MICC
507_NarI,Citricoccus sp. CH26A | 1045009.AFXQ01000022_gene1150
508_NarI,Citricoccus sp. SGAir0253 | tr|A0A4P9JB28|A0A4P9JB28_9MICC
509_NarI,Glutamicibacter arilaitensis Re117 | 861360.AARI_04740
510_NarI,Glutamicibacter soli | tr|A0A365YBX6|A0A365YBX6_9MICC
511_NarI,Glutamicibacter sp. BW78 | tr|A0A2A3XKS3|A0A2A3XKS3_9MICC
512_NarI,Glutamicibacter sp. V16R2B1 | tr|A0A5R8V2K8|A0A5R8V2K8_9MICC
513_NarI,Glutamicibacter sp. ZJUTW | tr|A0A5C2FHL8|A0A5C2FHL8_9MICC
514_NarI,Kocuria coralli | tr|A0A5J5KZR7|A0A5J5KZR7_9MICC
515_NarI,Kocuria marina | 223184.AS25_10210
516_NarI,Kocuria polaris | 136273.GY22_07905
517_NarI,Kocuria rosea (Deinococcus erythromyxa) (Micrococcus rubens) | tr|A0A2V1M043|A0A2V1M043_KOCRO
518_NarI,Kocuria soli | tr|A0A3N4A341|A0A3N4A341_9MICC
519_NarI,Kocuria sp. HSID17590 | tr|A0A3S0SQ33|A0A3S0SQ33_9MICC
520_NarI,Kocuria sp. WRN011 | tr|A0A2A3AFJ5|A0A2A3AFJ5_9MICC
521_NarI,Kocuria subflava | tr|A0A846TU88|A0A846TU88_9MICC
522_NarI,Paenarthrobacter sp. YJN-5 | tr|A0A7M2BW16|A0A7M2BW16_9MICC
523_NarI,Paeniglutamicibacter gangotriensis Lz1y | 1276920.ADIAG_01148
524_NarI,Pseudarthrobacter phenanthrenivorans Sphe3 | 930171.Asphe3_35210
525_NarI,Pseudarthrobacter phenanthrenivorans (Arthrobacter phenanthrenivorans) | tr|A0A3B0FFM7|A0A3B0FFM7_PSEPS
526_NarI,Pseudarthrobacter psychrotolerans | tr|A0A6P1NII8|A0A6P1NII8_9MICC
527_NarI,Pseudarthrobacter sp. BIM B-2242 | tr|A0A7L7VV71|A0A7L7VV71_9MICC
528_NarI,Pseudarthrobacter sp. GA104 | tr|A0A7K1NN70|A0A7K1NN70_9MICC
529_NarI,Pseudarthrobacter sp. NIBRBAC000502771 | tr|A0A4Y6QQY0|A0A4Y6QQY0_9MICC
530_NarI,Pseudarthrobacter sp. NIBRBAC000502772 | tr|A0A4Y6R3U2|A0A4Y6R3U2_9MICC
531_NarI,Rothia aeria | tr|I0UUI7|I0UUI7_9MICC
532_NarI,Rothia amarae | tr|A0A7H2BL62|A0A7H2BL62_9MICC
533_NarI,Rothia dentocariosa ATCC 17931 | 762948.HMPREF0733_10321
534_NarI,Rothia mucilaginosa DY-18 | 680646.RMDY18_04550
535_NarI,Rothia mucilaginosa | tr|A0A2I1Z6I9|A0A2I1Z6I9_9MICC
536_NarI,Rothia nasimurium | tr|A0A4Y9F4F5|A0A4Y9F4F5_9MICC
537_NarI,Rothia sp. | tr|A0A3D3LVY6|A0A3D3LVY6_9MICC
538_NarI,Rothia sp. ZJ932 | tr|A0A895L1J3|A0A895L1J3_9MICC
539_NarI,Rothia terrae | tr|A0A7H2BF41|A0A7H2BF41_9MICC
540_NarI,Sinomonas sp. R1AF57 | tr|A0A221R7S7|A0A221R7S7_9MICC
541_NarI,Ornithinimicrobium pekingense DSM 21552 | 1122622.ATWJ01000013_gene168
542_NarI,Ornithinimicrobium pratense | tr|A0A5J6V9K7|A0A5J6V9K7_9MICO
543_NarI,Ornithinimicrobium sp. AMA3305 | tr|A0A345NNB7|A0A345NNB7_9MICO
544_NarI,Ornithinimicrobium sp. H23M54 | tr|A0A516GB06|A0A516GB06_9MICO
545_NarI,Serinicoccus profundi MCCC 1A05965 | 1043205.AFYF01000021_gene826
546_NarI,Cellulosimicrobium cellulans J36 | 935839.JAGJ01000010_gene401
547_NarI,Cellulosimicrobium cellulans J36 | 935839.JAGJ01000031_gene74
548_NarI,Cellulosimicrobium cellulans (Arthrobacter luteus) | tr|A0A8B2DJK1|A0A8B2DJK1_CELCE
549_NarI,Cellulosimicrobium sp. BI34T | tr|A0A6M5UFB6|A0A6M5UFB6_9MICO
550_NarI,Cellulosimicrobium sp. BI34T | tr|A0A6M5UL65|A0A6M5UL65_9MICO
551_NarI,Promicromonospora kroppenstedtii DSM 19349 | 926564.KI911572_gene1354
552_NarI,Xylanimonas cellulosilytica DSM 15894 | 446471.Xcel_1827
553_NarI,Ruania albidiflava DSM 18029 | 1123065.ATWL01000010_gene3134
554_NarI,Sanguibacter inulinus | tr|A0A853EVY5|A0A853EVY5_9MICO
555_NarI,Sanguibacter sp. HDW7 | tr|A0A6G7Z6S8|A0A6G7Z6S8_9MICO
556_NarI,Actinocatenispora sera | 390989.JOEG01000011_gene283
557_NarI,Actinocatenispora sera | 390989.JOEG01000011_gene287
558_NarI,Actinoplanes missouriensis 431 | 512565.AMIS_40140
559_NarI,Actinoplanes sp. ATCC 53533 | tr|A0A428YKA7|A0A428YKA7_9ACTN
560_NarI,Actinoplanes utahensis | 1869.MB27_11080
561_NarI,Actinoplanes utahensis | 1869.MB27_11710
562_NarI,Catelliglobosispora koreensis DSM 44566 | 1121272.KB903276_gene6988
563_NarI,Catelliglobosispora koreensis DSM 44566 | 1121272.KB903289_gene4269
564_NarI,Dactylosporangium aurantiacum | 35754.JNYJ01000069_gene4205
565_NarI,Micromonospora aurantiaca ATCC 27029 | 644283.Micau_3965
566_NarI,Micromonospora globispora | tr|A0A3N9W240|A0A3N9W240_9ACTN
567_NarI,Micromonospora inaquosa | tr|A0A3N9WN70|A0A3N9WN70_9ACTN
568_NarI,Micromonospora orduensis | tr|A0A5C4QUK2|A0A5C4QUK2_9ACTN
569_NarI,Micromonospora sp. AP08 | tr|A0A5D0MTQ6|A0A5D0MTQ6_9ACTN
570_NarI,Micromonospora sp. CP22 | tr|A0A7K1H795|A0A7K1H795_9ACTN
571_NarI,Micromonospora sp. PPF5-17B | tr|A0A7K3X3U1|A0A7K3X3U1_9ACTN
572_NarI,Micromonospora sp. PPF5-17B | tr|A0A7K3X6Q5|A0A7K3X6Q5_9ACTN
573_NarI,Micromonospora sp. S4605 | tr|A0A317KP89|A0A317KP89_9ACTN
574_NarI,Salinispora arenicola CNS-205 | 391037.Sare_0195
575_NarI,Salinispora arenicola CNS-205 | 391037.Sare_3141
576_NarI,Salinispora pacifica CNT003 | 1136417.AZWE01000013_gene2385
577_NarI,Salinispora pacifica CNT003 | 1136417.AZWE01000041_gene172
578_NarI,Salinispora sp. H7-4 | tr|A0A7Z0SXJ1|A0A7Z0SXJ1_9ACTN
579_NarI,Salinispora tropica CNB-440 | 369723.Strop_0180
580_NarI,Nakamurella multipartita DSM 44233 | 479431.Namu_0903
581_NarI,Nakamurella sp. s14-144 | tr|A0A3G9A030|A0A3G9A030_9ACTN
582_NarI,Kribbella flavida DSM 17836 | 479435.Kfla_4153
583_NarI,Kribbella qitaiheensis | tr|A0A7G6WSL5|A0A7G6WSL5_9ACTN
584_NarI,Kribbella sindirgiensis | tr|A0A4R0I3M8|A0A4R0I3M8_9ACTN
585_NarI,Kribbella sp. YM55 | tr|A0A4R0IHL0|A0A4R0IHL0_9ACTN
586_NarI,Nocardioidaceae | tr|A0A7L5Z1W7|A0A7L5Z1W7_9ACTN
587_NarI,Nocardioidaceae | tr|A0A7Y5T921|A0A7Y5T921_9ACTN
588_NarI,Aeromicrobium chenweiae | tr|A0A2S0WP51|A0A2S0WP51_9ACTN
589_NarI,Aeromicrobium massiliense JC14 | 1033730.CAHG01000014_gene1839
590_NarI,Aeromicrobium phoceense | tr|A0A838XN99|A0A838XN99_9ACTN
591_NarI,Aeromicrobium sp. A1-2 | tr|A0A3B7D4F9|A0A3B7D4F9_9ACTN
592_NarI,Aeromicrobium sp. IC_218 | tr|A0A4R1AGG2|A0A4R1AGG2_9ACTN
593_NarI,Aeromicrobium sp. zg-636 | tr|A0A8I0K2G3|A0A8I0K2G3_9ACTN
594_NarI,Aeromicrobium tamlense | tr|A0A8I0FVX0|A0A8I0FVX0_9ACTN
595_NarI,Aeromicrobium terrae | tr|A0A5C8ND18|A0A5C8ND18_9ACTN
596_NarI,Marmoricola aequoreus | 397278.JOJN01000014_gene3546
597_NarI,Marmoricola pocheonensis | tr|A0A3N0GN74|A0A3N0GN74_9ACTN
598_NarI,Micropruina sp. | tr|A0A7L5ZEK7|A0A7L5ZEK7_9ACTN
599_NarI,Mumia sp. Z350 | tr|A0A5Q6S2P7|A0A5Q6S2P7_9ACTN
600_NarI,Mumia sp. Z527 | tr|A0A5C4MQG0|A0A5C4MQG0_9ACTN
601_NarI,Mumia sp. ZJ1417 | tr|A0A7G5LW03|A0A7G5LW03_9ACTN
602_NarI,Mumia sp. ZJ1417 | tr|A0A7G5M065|A0A7G5M065_9ACTN
603_NarI,Nocardioides currus | tr|A0A2R7YSK2|A0A2R7YSK2_9ACTN
604_NarI,Nocardioides daphniae | tr|A0A4P7UFG4|A0A4P7UFG4_9ACTN
605_NarI,Nocardioides ganghwensis | tr|A0A4V1RN14|A0A4V1RN14_9ACTN
606_NarI,Nocardioides glacieisoli | tr|A0A4Q2RJP4|A0A4Q2RJP4_9ACTN
607_NarI,Nocardioides guangzhouensis | tr|A0A4Q4Z3P7|A0A4Q4Z3P7_9ACTN
608_NarI,Nocardioides halotolerans DSM 19273 | 1122609.AUGT01000005_gene1705
609_NarI,Nocardioides iriomotensis | tr|A0A4Q5IX11|A0A4Q5IX11_9ACTN
610_NarI,Nocardioides piscis | tr|A0A6G7YCW9|A0A6G7YCW9_9ACTN
611_NarI,Nocardioides seonyuensis | tr|A0A4P7ICE5|A0A4P7ICE5_9ACTN
612_NarI,Nocardioides silvaticus | tr|A0A316TJC7|A0A316TJC7_9ACTN
613_NarI,Nocardioides sp. | tr|A0A3D0S8G0|A0A3D0S8G0_9ACTN
614_NarI,Nocardioides sp. BN130099 | tr|A0A5B1LAN7|A0A5B1LAN7_9ACTN
615_NarI,Nocardioides sp. CF8 | 110319.CF8_1170
616_NarI,Nocardioides sp. G188 | tr|A0A8F3J6J7|A0A8F3J6J7_9ACTN
617_NarI,Nocardioides sp. GY 10113 | tr|A0A4T0UUJ1|A0A4T0UUJ1_9ACTN
618_NarI,Nocardioides sp. GY 10127 | tr|A0A4T0V1Z1|A0A4T0V1Z1_9ACTN
619_NarI,Nocardioides sp. HLT2-9 | tr|A0A4Q2T9S5|A0A4Q2T9S5_9ACTN
620_NarI,Nocardioides sp. J54 | 935866.JAER01000038_gene4166
